iter	Passed	Remaining
0	133	133521
1	135	67427
2	136	45423
3	138	34439
4	140	27967
5	142	23605
6	143	20421
7	146	18176
8	147	16289
9	149	14769
10	150	13501
11	151	12476
12	153	11662
13	154	10880
14	155	10194
15	156	9613
16	157	9091
17	158	8642
18	161	8318
19	162	7950
20	163	7614
21	164	7305
22	165	7018
23	166	6782
24	168	6574
25	169	6352
26	170	6148
27	171	5951
28	172	5770
29	173	5602
30	174	5444
31	175	5294
32	175	5151
33	176	5022
34	177	4898
35	178	4779
36	179	4667
37	180	4562
38	181	4479
39	182	4388
40	183	4299
41	184	4211
42	185	4131
43	186	4052
44	187	3979
45	188	3908
46	189	3837
47	190	3770
48	190	3706
49	191	3644
50	192	3587
51	193	3531
52	194	3478
53	195	3431
54	198	3406
55	199	3361
56	200	3315
57	201	3279
58	203	3241
59	205	3221
60	206	3183
61	207	3146
62	209	3120
63	211	3086
64	212	3052
65	213	3023
66	215	2998
67	216	2967
68	217	2933
69	218	2907
70	219	2877
71	220	2847
72	221	2817
73	222	2788
74	224	2764
75	225	2738
76	228	2738
77	229	2713
78	230	2687
79	231	2664
80	232	2640
81	234	2620
82	234	2591
83	236	2576
84	237	2557
85	239	2540
86	240	2522
87	241	2507
88	243	2492
89	244	2471
90	245	2451
91	246	2432
92	247	2412
93	248	2393
94	249	2377
95	250	2359
96	251	2344
97	253	2329
98	254	2312
99	255	2300
100	257	2289
101	258	2278
102	260	2264
103	261	2248
104	262	2234
105	263	2224
106	265	2215
107	266	2201
108	267	2188
109	268	2173
110	269	2159
111	271	2151
112	273	2144
113	274	2135
114	276	2124
115	277	2112
116	277	2097
117	279	2087
118	280	2078
119	282	2068
120	283	2060
121	284	2049
122	286	2046
123	289	2043
124	290	2033
125	291	2022
126	292	2009
127	293	1998
128	294	1991
129	296	1984
130	297	1975
131	299	1966
132	300	1959
133	302	1955
134	304	1952
135	306	1944
136	307	1936
137	308	1927
138	310	1922
139	311	1914
140	313	1910
141	314	1898
142	315	1892
143	317	1888
144	319	1884
145	320	1876
146	322	1869
147	323	1860
148	324	1854
149	326	1848
150	327	1841
151	328	1834
152	330	1827
153	332	1825
154	333	1820
155	335	1813
156	336	1806
157	337	1798
158	338	1792
159	340	1788
160	341	1781
161	343	1776
162	344	1769
163	345	1762
164	347	1759
165	349	1754
166	351	1751
167	352	1745
168	353	1738
169	356	1738
170	358	1737
171	361	1737
172	363	1737
173	365	1732
174	366	1726
175	367	1719
176	368	1712
177	370	1708
178	371	1704
179	373	1699
180	374	1692
181	375	1685
182	376	1680
183	378	1678
184	379	1671
185	380	1666
186	381	1660
187	382	1653
188	384	1650
189	385	1645
190	387	1639
191	388	1633
192	389	1627
193	390	1621
194	391	1617
195	394	1616
196	395	1613
197	397	1609
198	398	1603
199	399	1599
200	401	1596
201	403	1592
202	404	1587
203	405	1581
204	407	1579
205	409	1576
206	410	1571
207	411	1567
208	412	1561
209	413	1556
210	415	1554
211	416	1549
212	418	1545
213	419	1540
214	420	1535
215	421	1531
216	423	1529
217	425	1526
218	426	1520
219	427	1515
220	428	1510
221	429	1506
222	431	1503
223	432	1499
224	434	1495
225	435	1490
226	436	1486
227	439	1486
228	440	1482
229	441	1477
230	442	1472
231	443	1467
232	444	1463
233	446	1462
234	448	1459
235	449	1455
236	450	1450
237	451	1447
238	454	1446
239	455	1443
240	456	1438
241	457	1433
242	458	1428
243	459	1424
244	461	1421
245	463	1419
246	464	1416
247	466	1413
248	467	1410
249	470	1410
250	471	1406
251	472	1402
252	473	1398
253	474	1393
254	476	1391
255	477	1388
256	479	1384
257	480	1381
258	481	1376
259	482	1373
260	485	1374
261	486	1370
262	487	1366
263	488	1362
264	489	1358
265	491	1356
266	493	1354
267	494	1350
268	495	1347
269	496	1343
270	498	1339
271	499	1337
272	501	1334
273	502	1331
274	503	1327
275	504	1323
276	505	1320
277	507	1318
278	509	1315
279	510	1312
280	512	1310
281	513	1306
282	515	1306
283	517	1305
284	519	1302
285	520	1299
286	521	1295
287	522	1292
288	524	1290
289	525	1287
290	526	1283
291	528	1280
292	530	1279
293	531	1277
294	533	1274
295	534	1271
296	535	1267
297	536	1264
298	538	1262
299	539	1259
300	541	1256
301	542	1253
302	543	1251
303	546	1250
304	547	1247
305	549	1245
306	550	1241
307	551	1238
308	552	1234
309	553	1233
310	555	1231
311	557	1228
312	558	1225
313	559	1222
314	561	1221
315	563	1218
316	564	1216
317	565	1212
318	566	1209
319	567	1206
320	569	1204
321	570	1202
322	572	1199
323	573	1196
324	574	1193
325	576	1192
326	578	1189
327	579	1187
328	580	1184
329	582	1181
330	583	1179
331	585	1177
332	586	1175
333	587	1172
334	589	1169
335	590	1166
336	592	1166
337	595	1165
338	596	1162
339	597	1159
340	598	1157
341	599	1154
342	600	1150
343	601	1147
344	602	1144
345	604	1141
346	605	1139
347	607	1137
348	608	1135
349	609	1132
350	610	1129
351	612	1126
352	613	1124
353	615	1122
354	616	1120
355	618	1117
356	619	1115
357	620	1113
358	623	1112
359	624	1110
360	625	1107
361	626	1104
362	628	1102
363	630	1101
364	632	1099
365	633	1096
366	634	1093
367	635	1090
368	637	1089
369	639	1088
370	640	1086
371	641	1083
372	643	1080
373	644	1079
374	646	1076
375	647	1074
376	648	1071
377	649	1068
378	650	1066
379	652	1064
380	653	1062
381	655	1060
382	656	1057
383	657	1054
384	658	1052
385	661	1051
386	662	1049
387	664	1047
388	665	1044
389	667	1043
390	668	1041
391	669	1039
392	670	1036
393	672	1033
394	673	1032
395	675	1030
396	676	1027
397	677	1025
398	679	1023
399	680	1020
400	683	1020
401	685	1019
402	686	1017
403	688	1015
404	690	1013
405	692	1012
406	694	1011
407	695	1009
408	697	1008
409	700	1007
410	702	1006
411	704	1006
412	707	1005
413	709	1004
414	711	1002
415	714	1003
416	717	1003
417	720	1002
418	721	1000
419	723	999
420	725	997
421	727	995
422	729	995
423	731	993
424	733	992
425	735	990
426	737	989
427	738	987
428	740	984
429	741	983
430	743	981
431	745	980
432	746	977
433	748	975
434	750	974
435	751	972
436	753	970
437	754	968
438	755	965
439	757	963
440	758	961
441	760	960
442	761	957
443	762	955
444	763	952
445	765	950
446	766	948
447	768	946
448	769	944
449	771	943
450	773	941
451	774	939
452	776	937
453	776	934
454	777	931
455	779	929
456	780	927
457	781	924
458	782	922
459	784	920
460	785	917
461	786	916
462	787	913
463	789	911
464	790	909
465	791	906
466	792	903
467	793	901
468	794	899
469	796	898
470	797	895
471	798	893
472	799	891
473	801	889
474	802	887
475	804	885
476	805	882
477	806	880
478	807	877
479	808	875
480	809	873
481	811	871
482	812	869
483	814	867
484	815	865
485	816	863
486	818	862
487	820	860
488	821	858
489	822	855
490	823	853
491	824	851
492	825	849
493	827	847
494	828	845
495	829	843
496	831	841
497	833	840
498	834	838
499	836	836
500	837	833
501	838	831
502	840	830
503	841	827
504	842	825
505	843	823
506	844	821
507	846	819
508	848	818
509	850	817
510	852	815
511	853	813
512	854	811
513	855	809
514	856	806
515	857	804
516	858	802
517	859	800
518	860	797
519	862	796
520	864	794
521	865	792
522	866	790
523	868	788
524	869	786
525	870	784
526	871	782
527	872	780
528	873	777
529	874	775
530	875	773
531	877	771
532	879	770
533	881	768
534	882	766
535	883	764
536	884	762
537	885	760
538	886	758
539	887	756
540	888	753
541	889	751
542	890	749
543	891	747
544	893	746
545	895	744
546	896	742
547	897	740
548	899	738
549	900	736
550	901	734
551	902	732
552	903	730
553	904	727
554	905	725
555	906	723
556	907	721
557	909	720
558	910	718
559	911	716
560	913	714
561	914	712
562	915	710
563	916	708
564	917	706
565	918	703
566	919	701
567	920	699
568	921	697
